127.0.0.1 - - [22/May/2024:23:31:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/May/2024:23:31:48 +0900] "GET /myapp/ HTTP/1.1" 200 8482
0:0:0:0:0:0:0:1 - - [22/May/2024:23:31:48 +0900] "GET /css/header.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:31:48 +0900] "GET /imgs/logo.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/May/2024:23:31:48 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:31:48 +0900] "GET /js/indexscript.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:39 +0900] "GET /myapp/ HTTP/1.1" 200 8482
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:39 +0900] "GET /css/header.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:39 +0900] "GET /imgs/logo.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:39 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:39 +0900] "GET /js/indexscript.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:42 +0900] "GET /myapp/ HTTP/1.1" 200 8482
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:42 +0900] "GET /css/header.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:42 +0900] "GET /imgs/logo.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:42 +0900] "GET /js/indexscript.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:42 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:47 +0900] "GET /myapp/ HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:47 +0900] "GET /imgs/logo.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:47 +0900] "GET /css/header.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:47 +0900] "GET /js/indexscript.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [22/May/2024:23:33:47 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:14 +0900] "GET /myapp/ HTTP/1.1" 200 10146
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:14 +0900] "GET /imgs/logo.png HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:14 +0900] "GET /css/header.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:14 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:14 +0900] "GET /js/indexscript.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:39 +0900] "GET /css/footer.css HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [22/May/2024:23:36:39 +0900] "GET /css/header.css HTTP/1.1" 404 825
